id,phrase,source,ragil,is_verified,visibility_tier,category,vip_source,has_notes,in_post_links,corpus_role,rule_applied,confidence,cluster_id
89c12492-bb42-45ca-a382-9e5e3d103567,הדחת ראש ממשלה,auto:תיעוד אירועים wp32380,1333,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
a8eacbc6-387d-4325-92cd-d3a181ab786f,בינה מלאכותית,auto:תיעוד אירועים wp33029,974,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33029,high,
9e8ae05c-1d4c-4386-a835-5ddf7530de61,ישועות ישראל,auto:תיעוד אירועים wp32380,1333,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
4effd1e5-fe8c-4444-b0e9-7d1556d2c2a4,כי למחיה שלחני,auto:תיעוד אירועים wp32380,521,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
c74bc6bb-e91a-48d1-9dcc-f5c16e0d0f91,בישועות ישראל,auto:תיעוד אירועים wp32380,1335,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
880717e5-1381-46a5-9676-01060950a839,כי מלאכיו יצוה לך,auto:תיעוד אירועים wp32380,298,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
be0a8821-72c1-4fe1-9c96-badb2e9cf0ac,באחרית הימים,auto:תיעוד אירועים wp32852,726,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
b38b5eaa-3af7-420f-a00a-628189a21294,ליקוי חמה טבעתי מלא,auto:תיעוד אירועים wp32852,771,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
713f5fc0-eb32-4227-91b5-b103ac7c18ab,ביאת משיח,auto:תיעוד אירועים wp32852,771,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
48d759ed-46e5-49b9-a9c9-e6716902e5b2,שבע מאות,auto:תיעוד אירועים wp32852,819,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
dc0db68c-1ca4-47aa-8394-7e1ab43a7a12,דוד מלך ישראל חי וקים,auto:תיעוד אירועים wp32852,819,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
819e6e69-0916-4c9c-9c27-190700320930,משיח כבר כאן,auto:תיעוד אירועים wp32852,651,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
ed001b4a-89bc-4ea1-ab57-4a148d502c89,רסל מילואים אדר גבריאל,auto:תיעוד אירועים wp33244,878,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33244,high,
580af486-9856-4352-a3b4-1cdf57c57f6e,סמל צהל יהונתן אליאס,auto:תיעוד אירועים wp33244,878,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33244,high,
8e615091-06c0-40ef-8e8e-d3f96c18188b,עולם אצילות,auto:תיעוד אירועים wp33462,683,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33462,high,
4945daf5-b59f-4e6c-bfb6-2e9e5c092dd9,לירון ויצמן,auto:תיעוד אירועים wp33494,492,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33494,high,
dd67c8a8-6a85-4d15-8e2c-2bf5ea5134b1,מגדל שמס,auto:תיעוד אירועים wp33494,477,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33494,high,
a35f054c-a6c1-42af-99c5-d07130119191,נאום יהוה,auto:תיעוד אירועים wp34138,123,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
8d3fe267-fbd3-4d58-87ac-d0f3e9839fa9,השבת חטופים,auto:תיעוד אירועים wp34138,860,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
f2012e09-9745-4225-b5d5-cb0f239b6e9b,עם ישראל,auto:תיעוד אירועים wp32852,651,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32852,high,
e20649c1-b18f-4fa3-83c6-8736a640ba29,תורה שבכתב,auto:תיעוד אירועים wp32380,1335,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
1613b8da-8923-4b3f-90e6-5e14e54c257d,ענוים הגיע זמן גאולתכם,auto:תיעוד אירועים wp34138,861,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
a467c62a-d28e-450b-82a3-12510114b0b8,קליפת עמלק,auto:תיעוד אירועים wp34138,860,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
3cffe881-602c-4172-9ca9-dd697cba1584,עם אחד,auto:תיעוד אירועים wp34138,123,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
252b3a19-66bc-4602-be74-6ba09c2cd3e2,היום הרת עולם היום,auto:תיעוד אירועים wp34138,873,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
b8c796e4-bf81-4ba3-b62e-e82e3b369ed7,היום הרת עולם,auto:תיעוד אירועים wp34138,812,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
f23f8f95-012d-43ae-a268-bd0b272a61be,היום יעמיד במשפט,auto:תיעוד אירועים wp34138,626,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
c42e4c6e-80ba-4e68-a638-fa21a67e1bec,חטא אדם הראשון,auto:תיעוד אירועים wp34138,625,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
f8e5dd17-5824-4bc8-a370-0d6648d45f98,היום הרת,auto:תיעוד אירועים wp34138,666,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
bf9317d0-f214-4a24-b6a3-dd8e9be6e455,אמחה זכר עמלק,auto:תיעוד אירועים wp34138,521,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
ab983674-72c5-46b0-99db-c8a94f0f5734,אבוא היום,auto:תיעוד אירועים wp34328,71,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34328,high,
20b5bc2e-d890-4060-b112-9e7f2b7cc3c8,חוסל יחיא סינוואר מנהיג חמאס,auto:תיעוד אירועים wp34348,683,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34348,high,
b0bf014f-27d9-48b8-8d46-3b5f59932a6d,היסר גוים הלא יוכיח,auto:תיעוד אירועים wp34433,424,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
32f2cf3d-a645-46bd-853f-1827dac39ad0,לידת משיח צדקינו,auto:תיעוד אירועים wp34433,1062,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
420cc084-716b-4d5f-bd03-33db16af9c3d,חיסול יחיא סינוואר ברפיח,auto:תיעוד אירועים wp34348,776,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34348,high,
2d4a51e9-9733-471b-817f-e9e715f26e4a,בן שני,auto:תיעוד אירועים wp34433,412,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
81cd72b7-466e-420c-9467-fce653a308d2,אנכי אנכי,auto:תיעוד אירועים wp33494,162,True,2,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp33494,high,
57b45ec2-db60-498a-86ec-562079215cf9,התיקון הכללי,auto:תיעוד אירועים wp34138,666,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34138,high,
6e1f82e8-5b31-4faf-b039-3e0cb311bb6a,איש אשר אבחר,auto:תיעוד אירועים wp34433,1023,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
8b74fcd4-18e2-4eb2-a2dd-99940471478c,כלי מחזיק ברכה לישראל,auto:תיעוד אירועים wp34433,1023,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
2234b0df-8923-4d02-8ec7-f20dbb95d9d1,אדום באחרית הימים,auto:תיעוד אירועים wp34433,777,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
85c102b0-3464-4d84-92c8-48928078399d,ארבעים וחמש ימים,auto:תיעוד אירועים wp34433,777,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
