id,phrase,source,ragil,is_verified,visibility_tier,dna_status,category,vip_source,has_notes,corpus_role,rule_applied,confidence,cluster_id
"ee2af47e-456f-46c3-8638-99d513f913cb","התגלותי בליל העשירי בטבת","excel_import","1934","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ee2d2e34-3219-46a6-87c8-5eee47e61998","חמשת אלפים שבע מאות שבעים ושש","excel_import","2756","false","3","appendix","כללי","","true","numeric_word_construct","spelled_out_number_construct","medium",""
"ee368f47-4e29-4fdb-a64e-5416098cc9eb","בנשמת הרב מנחם שניאורסון","excel_import","1820","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ee38efd7-8237-49a3-80d4-f239f6fa035e","אלכסיי לילה נועה 337 - אלכסיי לילה = 661","excel_import","1382","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ee3a0781-b890-40a7-9808-64bd632aa37f","פי יהוה דבר - מסתתר","excel_import","277","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"ee44f4df-34f2-43fc-b498-800939409f55","מהו תאריך התגלותי כמשיח יהוה","excel_import","1940","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ee478055-8c14-45a5-ac2f-0bee83fd8de0","אשלים מקדשך האחרון","excel_import","1115","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ee618913-cd16-448d-8c65-d7faf41003e1","רוח אלהים מרחפת על פני המשיח האחרון","excel_import","1901","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ee68b743-a238-4442-ab7f-36b4258bed67","ואתה יהוה חנני והקימני ואשלמה להם","excel_import","1234","false","3","appendix","יהוה","","false","thematic_corpus","thematic_category_unverified","low",""
"ee744869-6249-4ac4-9104-f5c24a4d7896","רוח חכמה בינה ודעת לצמח דוד","excel_import","1016","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ee86150d-b47b-49da-b12e-733ee2eb3e8d","מושיע ישראל האחרון","excel_import","1237","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ee8eeef1-bfcd-4c57-9b30-e668b17f7049","אני משיחו האמיתי האחרון","excel_import","1161","true","3","appendix","משיח","","true","thematic_corpus","thematic_category_verified","high",""
"eea85320-aa37-4ac2-9e3b-0540ad9fe1a3","בימינו בזמן הזה","excel_import","234","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"eea8638e-e5ba-40dd-8378-6ff65a09bce6","והיה יהוה למלך","excel_import","172","true","3","appendix","יהוה","","true","thematic_corpus","thematic_category_verified","high",""
"eecf2149-4a11-43c3-8c1f-4a1d1e0b06dd","המקום אשר יהוה בחר","excel_import","928","true","3","appendix","יהוה","","true","thematic_corpus","thematic_category_verified","high",""
"eeda3072-f0ee-44db-a49e-58b93a8a8ee2","בנימין ביבי נתניהו ימחה זכר עמלק = 1237","excel_import","","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"eee42e26-e7c5-4c3f-952c-e3135d17d5f2","ובניסן עתידים להגאל","excel_import","781","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
